[18-Sep-2024 01:03:05 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[18-Sep-2024 01:07:15 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 52
[18-Sep-2024 01:07:50 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 52
[18-Sep-2024 01:07:54 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 52
[18-Sep-2024 01:08:09 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 52
[18-Sep-2024 01:08:31 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 52
[18-Sep-2024 01:08:34 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 52
[18-Sep-2024 01:09:55 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 52
[18-Sep-2024 01:11:29 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 52
[18-Sep-2024 01:11:31 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 52
[18-Sep-2024 01:15:39 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 28
[18-Sep-2024 01:15:42 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 28
[18-Sep-2024 01:15:45 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 28
[18-Sep-2024 01:18:27 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 31
[18-Sep-2024 01:18:31 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 31
[18-Sep-2024 01:23:59 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 31
[18-Sep-2024 01:24:03 UTC] PHP Warning:  Undefined property: stdClass::$id in D:\GitMetro\Proyecto_Almacen\index.php on line 31
[15-Oct-2024 02:01:17 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 41
[15-Oct-2024 02:02:14 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 41
[15-Oct-2024 02:05:42 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 41
[15-Oct-2024 02:06:17 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 41
[15-Oct-2024 02:06:26 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 41
[15-Oct-2024 02:08:03 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 41
[15-Oct-2024 02:08:16 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 41
[15-Oct-2024 02:09:58 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 01:55:11 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 01:55:49 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 02:01:27 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 02:09:11 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 02:13:29 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 02:39:00 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 02:45:55 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 02:46:00 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 02:48:30 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 02:50:46 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 02:50:59 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 02:52:37 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 02:52:47 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 02:59:33 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 03:02:39 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 03:02:52 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 03:05:27 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
[26-Oct-2024 03:07:45 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active (started from D:\GitMetro\Proyecto_Almacen\index.php on line 2) in D:\GitMetro\Proyecto_Almacen\index.php on line 47
